phenotype	description	variable_type	source	n_non_missing	n_missing	n_controls	n_cases	PHESANT_transformation	notes
H7_PARASTRAB	Paralytic strabismus	categorical	finngen	361194	0	361054	140	NA	NA
I9_ARTEMBTHRLOW	Arterial embolism and thrombosis of lower extremity artery	categorical	finngen	361194	0	360832	362	NA	NA
C_CERVIX_UTERI	Malignant neoplasm of cervix uteri	categorical	finngen	361194	0	360826	368	NA	NA
H7_EYEADNEXOTH	Other specified and unspecified disorders of eye and adnexa	categorical	finngen	361194	0	361064	130	NA	NA
I9_OTHILLHEART	Other or ill-defined heart diseases	categorical	finngen	361194	0	360859	335	NA	NA
H7_CHALAZION	Chalazion	categorical	finngen	361194	0	359776	1418	NA	NA
PNEUMONIA	Pneumonias (Asthma/COPD co-morbidities)	categorical	finngen	361194	0	355294	5900	NA	NA
M13_RADICULOPATHY	Radiculopathy	categorical	finngen	361194	0	360662	532	NA	NA
L12_URTICA_NAS	Other and unspecified urticaria	categorical	finngen	361194	0	361088	106	NA	NA
C3_RECTUM	Malignant neoplasm of rectum	categorical	finngen	361194	0	360024	1170	NA	NA
M13_THORACISPINEPAIN	Pain in thoracic spine	categorical	finngen	361194	0	361030	164	NA	NA
C3_PANCREAS	Malignant neoplasm of pancreas	categorical	finngen	361194	0	360754	440	NA	NA
C3_THYROID_GLAND	Malignant neoplasm of thyroid gland	categorical	finngen	361194	0	360800	394	NA	NA
C3_SECONDARY_RESPIRATORY_DIGESTIVE	Secondary malignant neoplasm of respiratory and digestive organs	categorical	finngen	361194	0	361085	109	NA	NA
L12_HYPERTROPHICNAS	Other and unspecified hypertrophic disorders of skin	categorical	finngen	361194	0	360716	478	NA	NA
V_MENTAL_BEHAV	Mental and behavioural disorders	categorical	finngen	361194	0	356892	4302	NA	NA
M13_HALLUXRIGIDUS	Hallux rigidus	categorical	finngen	361194	0	360064	1130	NA	NA
M13_DEFORMDORSO	#Deforming dorsopathies	categorical	finngen	361194	0	360285	909	NA	NA
ULCERNAS	Ulcerative colitis, NAS	categorical	finngen	361194	0	359291	1903	NA	NA
I9_CEREBDOTH	Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere	categorical	finngen	361194	0	361017	177	NA	NA
H7_EYELIDNAS	Other specified and unspecified  disorders of eyelid	categorical	finngen	361194	0	359008	2186	NA	NA
H8_OTALGIA	Otalgia	categorical	finngen	361194	0	361059	135	NA	NA
D3_THROMBOCYTOPENIANAS	Thrombocytopenia, unspecified	categorical	finngen	361194	0	360964	230	NA	NA
F5_DEPRESSIO	Depression	categorical	finngen	361194	0	360049	1145	NA	NA
M13_LATERALEPICOND	Lateral epicondylitis	categorical	finngen	361194	0	360669	525	NA	NA
M13_SHOULDER	Shoulder lesions	categorical	finngen	361194	0	353951	7243	NA	NA
PRIM_COXARTHROSIS	Primary coxarthrosis, bilateral	categorical	finngen	361194	0	360615	579	NA	NA
AMN2	Transient global amnesia	categorical	finngen	361194	0	360911	283	NA	NA
ULCEROTH	Other ulcerative colitis	categorical	finngen	361194	0	361035	159	NA	NA
CAMPYLOENTERITIS	Campylobacter enteritis	categorical	finngen	361194	0	360905	289	NA	NA
DM_HYPOGLYC	Diabetic hypoglycemia	categorical	finngen	361194	0	360809	385	NA	NA
G6_EPIPAROX	Episodal and paroxysmal disorders	categorical	finngen	361194	0	355776	5418	NA	NA
M13_HALLUXVALGUS	Hallux valgus (acquired)	categorical	finngen	361194	0	355824	5370	NA	NA
L12_HIDRADENITISSUP	Hidradenitis suppurativa	categorical	finngen	361194	0	361059	135	NA	NA
I9_STR_EXH	Ischaemic Stroke, excluding all haemorrhages	categorical	finngen	361194	0	357880	3314	NA	NA
C_DIGESTIVE_ORGANS	NA	categorical	finngen	361194	0	355504	5690	NA	NA
C3_STOMACH	Malignant neoplasm of stomach	categorical	finngen	361194	0	360843	351	NA	NA
I9_K_CARDIAC	Death due to cardiac causes	categorical	finngen	361194	0	359597	1597	NA	NA
G6_DIFBRAININJ	Diffuse brain injury	categorical	finngen	361194	0	361079	115	NA	NA
I9_HYPTENSPREG	Hypertension complicating pregnancy, childbirth, and the puerperium	categorical	finngen	361194	0	360451	743	NA	NA
M13_SCIATICA	Siatica+with lumbago	categorical	finngen	361194	0	360041	1153	NA	NA
H7_XANTHELASMA	Xanthelasma of eyelid	categorical	finngen	361194	0	361041	153	NA	NA
C_MESTOTHEL_SOFTTISSUE	NA	categorical	finngen	361194	0	360680	514	NA	NA
G6_SAHTRAU	Traumatic subarachnoid haemorrhage	categorical	finngen	361194	0	361070	124	NA	NA
C_URINARY_TRACT	NA	categorical	finngen	361194	0	359353	1841	NA	NA
G6_PLANTAR	Lesion of plantar nerve	categorical	finngen	361194	0	360215	979	NA	NA
PULM_MEDICATIO_COMORB	Medication related adverse effects (Asthma/COPD)	categorical	finngen	361194	0	339488	21706	NA	NA
C_LYMPHOMA	Lymphomas	categorical	finngen	361194	0	359442	1752	NA	NA
C_COLON	Malignant neoplasm of colon	categorical	finngen	361194	0	358757	2437	NA	NA
KRA_PSY_ANXIETY	Anxiety disorders	categorical	finngen	361194	0	360102	1092	NA	NA
M13_GIANTCELL	Giant cell arteritis	categorical	finngen	361194	0	360963	231	NA	NA
E4_DM1NOCOMP	Type 1 diabetes without complications	categorical	finngen	361194	0	360947	247	NA	NA
AB1_OTHER_BACTERIAL	Other bacterial diseases	categorical	finngen	361194	0	359232	1962	NA	NA
C_PANCREAS	Malignant neoplasm of pancreas	categorical	finngen	361194	0	360754	440	NA	NA
LUNG_CANCER	Lung cancer and mesothelioma	categorical	finngen	361194	0	359187	2007	NA	NA
C_MULTIPLE_MYELOMA_PLASMA_CELL	Multiple myeloma and malignant plasma cell neoplasms	categorical	finngen	361194	0	360766	428	NA	NA
G6_POLYNEU	Polyneuropathies and other disorders of the peripheral nervous system	categorical	finngen	361194	0	360634	560	NA	NA
G6_CARPTU	Carpal tunnel syndrome	categorical	finngen	361194	0	353221	7973	NA	NA
G6_POLYOTHUNS	Other and unspecified polyneuropathies, also in other diseases	categorical	finngen	361194	0	360815	379	NA	NA
C_STOMACH	Malignant neoplasm of stomach	categorical	finngen	361194	0	360843	351	NA	NA
M13_MENISCUSDERANGEMENTS	Meniscus derangement	categorical	finngen	361194	0	350363	10831	NA	NA
C_MESOTHELIOMA	Mesothelioma	categorical	finngen	361194	0	361029	165	NA	NA
M13_ROTATORCUFF	Rotator cuff syndrome	categorical	finngen	361194	0	358909	2285	NA	NA
M13_GANGLION	Ganglion	categorical	finngen	361194	0	358955	2239	NA	NA
BRONCHITIS	Bronchitis	categorical	finngen	361194	0	356911	4283	NA	NA
XI_DIGESTIVE	Diseases of the digestive system	categorical	finngen	361194	0	245301	115893	NA	NA
K11_ACHAL	Achalasia of cardia	categorical	finngen	361194	0	361075	119	NA	NA
G6_NEUATR	Systemic atrophies primarly affecting the central nervous system	categorical	finngen	361194	0	360982	212	NA	NA
ASTHMA_OPPORTUNIST_INFECTIONS	NA	categorical	finngen	361194	0	360685	509	NA	NA
M13_ARTHROSIS	#Arthrosis	categorical	finngen	361194	0	336217	24977	NA	NA
H8_LABYRINTHITIS	Labyrinthitis	categorical	finngen	361194	0	360677	517	NA	NA
D3_COAGOTHER	Other coagulation defects	categorical	finngen	361194	0	361080	114	NA	NA
AB1_INFECTIONS	Certain infectious and parasitic diseases	categorical	finngen	361194	0	353664	7530	NA	NA
NAFLD	Nonalcoholic fatty liver disease	categorical	finngen	361194	0	360919	275	NA	NA
I9_PULMOTHHD	Other pulmonary heart/vessel disease	categorical	finngen	361194	0	361027	167	NA	NA
ASTHMA_HOSPITAL1	Asthma, hospital admissions 1	categorical	finngen	361194	0	359208	1986	NA	NA
L12_EPIDERMALTHICKOTH	Other epidermal thickening	categorical	finngen	361194	0	360766	428	NA	NA
FIBRO_COMORB	Fibromyalgia related co-morbidities	categorical	finngen	361194	0	358889	2305	NA	NA
H8_MYRINGNAS	Other specified/unspecified disorders of tympanic membrane	categorical	finngen	361194	0	361032	162	NA	NA
H7_POSTOPEYENAS	Oher and unspecified postprocedural disorders of eye and adnexa	categorical	finngen	361194	0	361069	125	NA	NA
L12_ERYTHEMATOUSOTH	Other erythematous conditions	categorical	finngen	361194	0	361076	118	NA	NA
C3_UNCERTAIN_SECONDARY	Secondary uncertain malignant neoplasm	categorical	finngen	361194	0	360771	423	NA	NA
M13_PLANTARFASC	Plantar fascial fibromatosis	categorical	finngen	361194	0	360994	200	NA	NA
C_TONSIL	Malignant neoplasm of tonsil	categorical	finngen	361194	0	361019	175	NA	NA
I9_RHEUVALV	Rheumatic valve diseases	categorical	finngen	361194	0	360767	427	NA	NA
K11_OTHDISOES	Other diseases of oesophagus	categorical	finngen	361194	0	360009	1185	NA	NA
I9_HYPTENSHR	Hypertensive heart and/or renal disease	categorical	finngen	361194	0	360818	376	NA	NA
M13_PATELLAOTH	Other disorders of patella	categorical	finngen	361194	0	360819	375	NA	NA
L12_SKINSUBCUTISNAS	Other and unspecified disorders of skin and subcutaneous tissue	categorical	finngen	361194	0	357393	3801	NA	NA
G6_BELLPA	Bell's palsy	categorical	finngen	361194	0	360856	338	NA	NA
H7_DIVERGSTRAB	Divergent concomitant strabismus	categorical	finngen	361194	0	360918	276	NA	NA
M13_PATHODISLOCATIO	Pathological/recurrent dislocation and subluxation of joint, not elsewhere classified	categorical	finngen	361194	0	360971	223	NA	NA
M13_METATARSALGIA	Metatarsalgia	categorical	finngen	361194	0	361018	176	NA	NA
E4_DM1	Type 1 diabetes	categorical	finngen	361194	0	360611	583	NA	NA
I9_UAP	Unstable angina pectoris	categorical	finngen	361194	0	357755	3439	NA	NA
G6_NEURODEG	Other degenerative diseases of the nervous system	categorical	finngen	361194	0	360952	242	NA	NA
C3_OTHER_SKIN	Other malignant neoplasms of skin	categorical	finngen	361194	0	346792	14402	NA	NA
M13_FLEXION	Flexion deformity	categorical	finngen	361194	0	361077	117	NA	NA
I9_CARDMYOOTH	Cardiomyopathy, other and unspecified	categorical	finngen	361194	0	361030	164	NA	NA
K11_OTHILEUS	Other or unspecified ileus, impaction or obstruction	categorical	finngen	361194	0	359844	1350	NA	NA
K11_GALLBILPANC	Disorders of gallbladder, biliary tract and pancreas	categorical	finngen	361194	0	347272	13922	NA	NA
M13_LOOSEJOINT	Loose body in joint	categorical	finngen	361194	0	361037	157	NA	NA
I9_PHLETHROMBDVTLOW	DVT of lower extremities	categorical	finngen	361194	0	359078	2116	NA	NA
G6_GUILBAR	Guillain-Barre syndrome	categorical	finngen	361194	0	361039	155	NA	NA
KRA_PSY_SCHIZODEL	Schizophrenia or delusion	categorical	finngen	361194	0	360733	461	NA	NA
D3_BLOODNAS	Other and unspecified diseases of blood and blood-forming organs	categorical	finngen	361194	0	361071	123	NA	NA
C_KIDNEY_NOTRENALPELVIS	Malignant neoplasm of kidney, except renal pelvis	categorical	finngen	361194	0	360323	871	NA	NA
L12_INFECT_SKIN_OTHER	Other local infections of skin and subcutaneous tissue	categorical	finngen	361194	0	360701	493	NA	NA
I9_CHD	Major coronary heart disease event	categorical	finngen	361194	0	351037	10157	NA	NA
M13_SOFTTISSUEOTH	Other soft tissue disorders, not elsewhere classified	categorical	finngen	361194	0	353961	7233	NA	NA
134	Number of self-reported cancers	ordinal	phesant	361136	58	NA	NA	134_0|| INTEGER || Inc(>=10): 1(28867) || Inc(>=10): 0(330212) || Inc(>=10): 3(160) || Inc(>=10): 2(1870) || Inc(>=10): 4(27) || Removed 6: 2<10 examples || Removed 5: 3<10 examples || 3-10 values || CAT-ORD || order: 0|1|2|3|4 || num categories: 5 ||	Number of cancers entered
135	Number of self-reported non-cancer illnesses	ordinal	phesant	361141	53	NA	NA	135_0|| INTEGER || CONTINUOUS || >20% IN ONE CATEGORY || Split into three bins: 0: <1, 1: [1,2), 2: >=2 ||cat N: 90309, 96560, 174272 || CAT-ORD || order: 0|1|2 || num categories: 3 ||	Number of non-cancer illnesses entered
136	Number of operations, self-reported	ordinal	phesant	361141	53	NA	NA	136_0|| INTEGER || CONTINUOUS || >20% IN ONE CATEGORY || Split into three bins: 0: <1, 1: [1,2), 2: >=2 ||cat N: 75865, 109070, 176206 || CAT-ORD || order: 0|1|2 || num categories: 3 ||	Number of operations entered
137	Number of treatments/medications taken	ordinal	phesant	361141	53	NA	NA	137_0|| INTEGER || CONTINUOUS || >20% IN ONE CATEGORY || Split into three bins: 0: <1, 1: [1,3), 2: >=3 ||cat N: 98337, 124631, 138173 || CAT-ORD || order: 0|1|2 || num categories: 3 ||	Number of treatments (medications) entered
398	Number of correct matches in round	ordinal	phesant	360686	508	NA	NA	398_0|| INTEGER || CONTINUOUS || >20% IN ONE CATEGORY || Split into three bins: 0: [0,0], 1: (0,4.5), 2: [4.5,4.5] ||cat N: 5223, 4357, 351106 || CAT-ORD || order: 0|1|2 || num categories: 3 ||	This is the number of correct matches in the round. It should always be 3 for a 2x3 game and 6 for a 3x4 game, unless the participant abandoned before finishing.
403	Number of times snap-button pressed	ordinal	phesant	359678	1516	NA	NA	403_0|| INTEGER || CONTINUOUS || >20% IN ONE CATEGORY || Split into three bins: 0: <0.5, 1: [0.5,0.5], 2: >0.5 ||cat N: 5815, 316720, 37143 || CAT-ORD || order: 0|1|2 || num categories: 3 ||	This indicates the number of times the snap-button was pressed (i.e. the user indicated the cards matched) in each round.
709	Number in household	ordinal	phesant	358963	2231	NA	NA	709_0|| INTEGER || reassignments: -1=NA|-3=NA || CONTINUOUS || >20% IN ONE CATEGORY || Split into three bins: 0: <2, 1: [2,2], 2: >2 ||cat N: 66277, 173719, 118967 || CAT-ORD || order: 0|1|2 || num categories: 3 ||	ACE touchscreen question "Including yourself, how many people are living together in your household? (Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots)" The following checks were performed: If answer If answer > 100 then rejected If answer > 12 then participant asked to confirm If the participant activated the Help button they were shown the message: If you live alone, enter 1. Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots. ~F709~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~
728	Number of vehicles in household	ordinal	phesant	358754	2440	NA	NA	728_0|| CAT-SINGLE || Inc(>=10): 3(140274) || Inc(>=10): 2(148872) || Inc(>=10): 1(27948) || Inc(>=10): 4(31671) || Inc(>=10): 5(9989) || ordered || CAT-ORD || order: 1|2|3|4|5 || num categories: 5 ||	ACE touchscreen question "How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use) " If the participant activated the Help button they were shown the message: Do not include motorcycles. ~F728~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~
738	Average total household income before tax	ordinal	phesant	311028	50166	NA	NA	738_0|| CAT-SINGLE || Inc(>=10): 2(79170) || Inc(>=10): 3(82181) || Inc(>=10): 1(67678) || Inc(>=10): 4(64914) || Inc(>=10): 5(17085) || ordered || CAT-ORD || order: 1|2|3|4|5 || num categories: 5 ||	ACE touchscreen question "What is the average total income before tax received by your HOUSEHOLD?" If the participant activated the Help button they were shown the message: If you are unsure of annual household income here are the weekly and monthly equivalents: Annual Monthly Weekly less than &pound;18,000 less than &pound;1,500 less than &pound;346 &pound;18,000 to &pound;29,999 &pound;1,500 to &pound;2,499 &pound;346 to &pound;576 &pound;30,000 to &pound;51,999 &pound;2,500 to &pound;4,333 &pound;577 to &pound;999 &pound;52,000 to &pound;100,000 &pound;4,334 to &pound;8,333 &pound;1000 to &pound;1,923 greater than &pound;100,000 greater than &pound;8,333 greater than &pound;1,923 ~F738~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~
777	Frequency of travelling from home to job workplace	ordinal	phesant	201267	159927	NA	NA	777_0|| INTEGER || reassignments: -10=NA|-1=NA|-3=NA || CONTINUOUS || >20% IN ONE CATEGORY || Split into three bins: 0: <4, 1: [4,5), 2: >=5 ||cat N: 49751, 24165, 127351 || CAT-ORD || order: 0|1|2 || num categories: 3 ||	ACE touchscreen question "How many times a WEEK do you travel from home to your main work? (count outward journeys only; put 0 if you always work from home)" The following checks were performed: If answer If answer > 999 then rejected If answer > 99 then participant asked to confirm If the participant activated the Help button they were shown the message: If the number of times varies each week, take an average over the last 4 weeks. If you only work from home please enter 0 ~F777~ was collected from the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~
806	Job involves mainly walking or standing	ordinal	phesant	204956	156238	NA	NA	806_0|| CAT-SINGLE || Inc(>=10): 2(63110) || Inc(>=10): 1(73717) || Inc(>=10): 3(29974) || Inc(>=10): 4(38155) || ordered || CAT-ORD || order: 1|2|3|4 || num categories: 4 ||	ACE touchscreen question "Does your work involve walking or standing for most of the time?" If the participant activated the Help button they were shown the message: If you have more than one 'current job' then answer this question your MAIN job only. ~F806~ was collected from the participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~
816	Job involves heavy manual or physical work	ordinal	phesant	205000	156194	NA	NA	816_0|| CAT-SINGLE || Inc(>=10): 1(134743) || Inc(>=10): 2(43375) || Inc(>=10): 4(13111) || Inc(>=10): 3(13771) || ordered || CAT-ORD || order: 1|2|3|4 || num categories: 4 ||	ACE touchscreen question "Does your work involve heavy manual or physical work?" If the participant activated the Help button they were shown the message: If you have more than one 'current job' then answer this question for your MAIN job only. Physical work includes work that involves handling of heavy objects and use of heavy tools. ~F816~ was collected from participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~
826	Job involves shift work	ordinal	phesant	204783	156411	NA	NA	826_0|| CAT-SINGLE || Inc(>=10): 1(171615) || Inc(>=10): 2(14531) || Inc(>=10): 4(14678) || Inc(>=10): 3(3959) || ordered || CAT-ORD || order: 1|2|3|4 || num categories: 4 ||	ACE touchscreen question "Does your work involve shift work?" If the participant activated the Help button they were shown the message: If you have more than one 'current job' then answer this question for your MAIN job only. Shift work is a work schedule that falls outside of the normal daytime working hours of 9am-5pm. This may involve working afternoons, evenings or nights or rotating through these kinds of shifts. ~F826~ was collected from participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~
845	Age completed full time education	ordinal	phesant	240547	120647	NA	NA	845_0|| INTEGER || reassignments: -1=NA|-2=NA|-3=NA || CONTINUOUS || >20% IN ONE CATEGORY || Split into three bins: 0: <16, 1: [16,17), 2: >=17 ||cat N: 75942, 78138, 86467 || CAT-ORD || order: 0|1|2 || num categories: 3 ||	ACE touchscreen question "At what age did you complete your continuous full time education?" The following checks were performed: If answer If answer > Participants age then rejected If answer > 40 then participant asked to confirm If the participant activated the Help button they were shown the message: Please give the age that you completed 'continuous' full time education. For example, if you stopped your studies when you were 17 years old with the intention that you had completed your studies but then returned to full time studies when you were 24, enter 17. However if you only temporarily stopped your studies at 17 with the intention that you would return to studies (for instance a gap year) and then completed your full time education at 21, enter 21. ~F845~ was collected from all participants except those who indicated they have a College or University degree, as defined by their answers to ~F6138~
864	Number of days/week walked 10+ minutes	ordinal	phesant	355030	6164	NA	NA	864_0|| INTEGER || reassignments: -1=NA|-2=NA|-3=NA || Inc(>=10): 3(28533) || Inc(>=10): 7(165702) || Inc(>=10): 4(29176) || Inc(>=10): 6(36057) || Inc(>=10): 5(56773) || Inc(>=10): 1(9722) || Inc(>=10): 0(7433) || Inc(>=10): 2(21634) || 3-10 values || CAT-ORD || order: 0|1|2|3|4|5|6|7 || num categories: 8 ||	ACE touchscreen question "In a typical WEEK, on how many days did you walk for at least 10 minutes at a time? (Include walking that you do at work, travelling to and from work, and for sport or leisure)" The following checks were performed: If answer If answer > 7 then rejected If the participant activated the Help button they were shown the message: Count the number of days in a week that you walk for at least 10 minutes continuously at a time. 
884	Number of days/week of moderate physical activity 10+ minutes	ordinal	phesant	343943	17251	NA	NA	884_0|| INTEGER || reassignments: -1=NA|-3=NA || Inc(>=10): 5(51262) || Inc(>=10): 3(51950) || Inc(>=10): 7(64870) || Inc(>=10): 2(50850) || Inc(>=10): 4(34328) || Inc(>=10): 0(43861) || Inc(>=10): 6(18903) || Inc(>=10): 1(27919) || 3-10 values || CAT-ORD || order: 0|1|2|3|4|5|6|7 || num categories: 8 ||	ACE touchscreen question "In a typical WEEK, on how many days did you do 10 minutes or more of moderate physical activities like carrying light loads, cycling at normal pace? (Do not include walking)" The following checks were performed: If answer If answer > 7 then rejected If the participant activated the Help button they were shown the message: Count the number of days in a week that you do moderate physical activities for at least 10 minutes continuously at a time. Remember to include activities that you do for work, leisure, travel and around the house. 
894	Duration of moderate activity	ordinal	phesant	268826	92368	NA	NA	894_0|| INTEGER || reassignments: -1=NA|-3=NA || CONTINUOUS || >20% IN ONE CATEGORY || Split into three bins: 0: <30, 1: [30,60), 2: >=60 ||cat N: 77048, 72938, 118840 || CAT-ORD || order: 0|1|2 || num categories: 3 ||	ACE touchscreen question "How many minutes did you usually spend doing moderate activities on a typical DAY?" The following checks were performed: If answer If answer > 1440 then rejected If answer If answer > 300 then participant asked to confirm If the participant activated the Help button they were shown the message: If the time you usually spend doing moderate physical activity on each day of the week varies a lot, give an average of the time you spend doing moderate physical activity. ~F894~ was collected from participants who indicated that they did moderate physical activities for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to question ~F884~
904	Number of days/week of vigorous physical activity 10+ minutes	ordinal	phesant	344084	17110	NA	NA	904_0|| INTEGER || reassignments: -1=NA|-3=NA || Inc(>=10): 0(128843) || Inc(>=10): 5(23070) || Inc(>=10): 3(47477) || Inc(>=10): 1(49141) || Inc(>=10): 4(22128) || Inc(>=10): 2(54806) || Inc(>=10): 6(6699) || Inc(>=10): 7(11920) || 3-10 values || CAT-ORD || order: 0|1|2|3|4|5|6|7 || num categories: 8 ||	ACE touchscreen question "In a typical WEEK, how many days did you do 10 minutes or more of vigorous physical activity? (These are activities that make you sweat or breathe hard such as fast cycling, aerobics, heavy lifting)" The following checks were performed: If answer If answer > 7 then rejected If the participant activated the Help button they were shown the message: Count the number of days in a week that you do vigorous physical activities for at least 10 minutes continuously at a time. Remember to include activities that you do for work, leisure, travel and around the house. 
924	Usual walking pace	ordinal	phesant	358974	2220	NA	NA	924_0|| CAT-SINGLE || Inc(>=10): 3(144211) || Inc(>=10): 2(187612) || Inc(>=10): 1(27151) || ordered || CAT-ORD || order: 1|2|3 || num categories: 3 ||	ACE touchscreen question "How would you describe your usual walking pace? " If the participant activated the Help button they were shown the message: Slow pace is defined as less than 3 miles per hour. Steady average pace is defined as between 3-4 miles per hour. Fast pace is defined as more than 4 miles per hour. ~F924~ was collected from all participants except those who indicated they were unable to walk, as defined by their answers to ~F864~
943	Frequency of stair climbing in last 4 weeks	ordinal	phesant	357720	3474	NA	NA	943_0|| CAT-SINGLE || Inc(>=10): 0(32647) || Inc(>=10): 3(67520) || Inc(>=10): 1(70244) || Inc(>=10): 2(131432) || Inc(>=10): 4(31410) || Inc(>=10): 5(24467) || ordered || CAT-ORD || order: 0|1|2|3|4|5 || num categories: 6 ||	ACE touchscreen question "At home, during the last 4 weeks, about how many times a DAY do you climb a flight of stairs? (approx 10 steps)" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F943~ was collected from all participants except those who indicated they were unable to walk, as defined by their answers to ~F864~
971	Frequency of walking for pleasure in last 4 weeks	ordinal	phesant	257478	103716	NA	NA	971_0|| CAT-SINGLE || Inc(>=10): 3(45054) || Inc(>=10): 4(58437) || Inc(>=10): 1(19597) || Inc(>=10): 2(74574) || Inc(>=10): 5(28597) || Inc(>=10): 6(31219) || ordered || CAT-ORD || order: 1|2|3|4|5|6 || num categories: 6 ||	ACE touchscreen question "How many times in the last 4 weeks did you go walking for pleasure?" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F971~ was collected from participants who indicated that they spent time walking for pleasure in the previous 4 weeks, as defined by their answers to ~F6164~
981	Duration walking for pleasure	ordinal	phesant	257330	103864	NA	NA	981_0|| CAT-SINGLE || Inc(>=10): 2(53925) || Inc(>=10): 3(94067) || Inc(>=10): 4(46649) || Inc(>=10): 7(17862) || Inc(>=10): 6(17364) || Inc(>=10): 5(23335) || Inc(>=10): 1(4128) || ordered || CAT-ORD || order: 1|2|3|4|5|6|7 || num categories: 7 ||	ACE touchscreen question "Each time you went walking for pleasure, about how long did you spend doing it?" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F981~ was collected from all participants who indicated that they spent time walking for pleasure in the previous 4 weeks, as defined by their answers to ~F6164~
991	Frequency of strenuous sports in last 4 weeks	ordinal	phesant	36891	324303	NA	NA	991_0|| CAT-SINGLE || Inc(>=10): 3(8595) || Inc(>=10): 5(5452) || Inc(>=10): 4(14684) || Inc(>=10): 2(5505) || Inc(>=10): 1(1888) || Inc(>=10): 6(767) || ordered || CAT-ORD || order: 1|2|3|4|5|6 || num categories: 6 ||	ACE touchscreen question "How many times in the last 4 weeks did you do strenuous sports?" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F991~ was collected from all participants who indicated that they spent time doing strenuous sports in the previous 4 weeks, as defined by their answers to ~F6164~
1001	Duration of strenuous sports	ordinal	phesant	36919	324275	NA	NA	1001_0|| CAT-SINGLE || Inc(>=10): 3(15328) || Inc(>=10): 5(4457) || Inc(>=10): 4(10900) || Inc(>=10): 6(1828) || Inc(>=10): 2(2565) || Inc(>=10): 7(1518) || Inc(>=10): 1(323) || ordered || CAT-ORD || order: 1|2|3|4|5|6|7 || num categories: 7 ||	ACE touchscreen question "Each time you did strenuous sports, about how long did you spend doing it?" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F1001~ was collected from all participants who indicated that they spent time doing strenuous sports in the previous 4 weeks, as defined by their answers to ~F6164~
1011	Frequency of light DIY in last 4 weeks	ordinal	phesant	180494	180700	NA	NA	1011_0|| CAT-SINGLE || Inc(>=10): 2(51968) || Inc(>=10): 4(47026) || Inc(>=10): 3(38086) || Inc(>=10): 6(10318) || Inc(>=10): 1(17124) || Inc(>=10): 5(15972) || ordered || CAT-ORD || order: 1|2|3|4|5|6 || num categories: 6 ||	ACE touchscreen question "How many times in the last 4 weeks did you do light DIY?" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F1011~ was collected from all participants who indicated that they spent time doing light DIY (e.g. pruning, watering the lawn) in the previous 4 weeks, as defined by their answers to ~F6164~
1021	Duration of light DIY	ordinal	phesant	179548	181646	NA	NA	1021_0|| CAT-SINGLE || Inc(>=10): 3(56885) || Inc(>=10): 2(42164) || Inc(>=10): 6(13019) || Inc(>=10): 4(30403) || Inc(>=10): 5(18300) || Inc(>=10): 1(10094) || Inc(>=10): 7(8683) || ordered || CAT-ORD || order: 1|2|3|4|5|6|7 || num categories: 7 ||	ACE touchscreen question "Each time you did light DIY, about how long did you spend doing it?" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F1021~ was collected from all participants who indicated that they spent time doing light DIY (e.g. pruning, watering the lawn) in the previous 4 weeks, as defined by their answers to ~F6164~
1031	Frequency of friend/family visits	ordinal	phesant	358821	2373	NA	NA	1031_0|| CAT-SINGLE || reassignments: 7=6 || Inc(>=10): 4(47569) || Inc(>=10): 2(111871) || Inc(>=10): 3(128391) || Inc(>=10): 5(23252) || Inc(>=10): 1(41890) || Inc(>=10): 6(5848) || ordered || CAT-ORD || order: 1|2|3|4|5|6 || num categories: 6 ||	ACE touchscreen question "How often do you visit friends or family or have them visit you?" If the participant activated the Help button they were shown the message: If this varies, please give an average of how often you visit or have had visits in the last year. Include meeting with friends or family in environments outside of the home such as in the park, at a sports field, at a restaurant or pub. 
